N,51.8491,-8.29956,B543,05 Feb 2024,B543\nCobh to Cork\nExpected Departure 20:30,To Cork
N,51.8491,-8.29956,B592,05 Feb 2024,B592\nCobh to Cork\nExpected Departure 20:30,To Cork
N,51.9018,-8.4582,B231,05 Feb 2024,B231\nCork to Mallow\nExpected Departure 20:25,To Mallow
N,51.9112,-8.3254,B186,05 Feb 2024,B186\nGlounthaune to Midleton\nExpected Departure 20:35,To Midleton
N,53.1442,-6.06085,B605,05 Feb 2024,B605\nGreystones to Dublin Connolly\nExpected Departure 20:25,Northbound
N,53.1442,-6.06085,B615,05 Feb 2024,B615\nGreystones to Dun Laoghaire\nExpected Departure 20:30,Northbound
N,53.4509,-6.15649,E432,05 Feb 2024,E432\nMalahide to Dun Laoghaire\nExpected Departure 20:35,Southbound
R,0,0,A808,05 Feb 2024,A808\n18:15 - Dublin Heuston to Westport (4 mins late)\nDeparted Athlone Midland Yard next stop Roscommon,To Westport
R,52.1396,-8.65521,A312,05 Feb 2024,A312\n17:05 - Dublin Heuston to Tralee (-1 mins late)\nDeparted Mallow next stop Banteer,To Tralee
R,52.271,-9.69846,A315,05 Feb 2024,A315\n19:05 - Tralee to Mallow (0 mins late)\nDeparted Tralee next stop Farranfore,To Mallow
R,52.5009,-8.20003,A229,05 Feb 2024,A229\n19:48 - Mallow to Dublin Heuston (-4 mins late)\nArrived Limerick Junction next stop Thurles,To Dublin Heuston
R,52.5828,-8.38682,A449,05 Feb 2024,A449\n19:55 - Limerick to Limerick Junction (10 mins late)\nDeparted Drumkeen next stop Limerick Junction,To Limerick Junction
R,52.6404,-8.52719,A478,05 Feb 2024,A478\n19:42 - Limerick Junction to Ennis (11 mins late)\nDeparted Killonan next stop Limerick,To Ennis
R,52.6766,-7.82189,A226,05 Feb 2024,A226\n19:00 - Dublin Heuston to Mallow (1 mins late)\nArrived Thurles next stop Limerick Junction,To Mallow
R,52.992,-6.9762,A518,05 Feb 2024,A518\n18:35 - Dublin Heuston to Waterford (0 mins late)\nDeparted Athy next stop Carlow,To Waterford
R,53.0371,-7.30086,A227,05 Feb 2024,A227\n18:48 - Mallow to Dublin Heuston (0 mins late)\nDeparted Portlaoise next stop Dublin Heuston,To Dublin Heuston
